MSZoning,LotFrontage,MSSubClass
2,56,0
3,57,0
3,50,5
3,54,5
3,19,11
3,51,5
3,115,0
3,39,5
3,61,0
3,46,0
2,4,11
4,0,13
4,0,13
3,2,13
3,2,11
3,78,5
3,70,0
3,66,0
3,55,0
3,86,0
3,81,5
3,17,11
3,76,0
3,19,11
3,43,8
3,39,5
3,36,5
3,49,0
1,68,0
1,60,0
3,46,5
2,46,1
3,15,0
3,61,5
3,64,5
1,3,11
1,15,13
1,6,13
1,2,13
1,2,13
1,115,13
1,115,13
1,33,0
1,44,5
1,56,0
3,115,0
3,56,5
3,115,4
3,56,5
3,56,0
3,66,0
3,64,0
3,115,8
3,74,10
3,44,4
3,94,4
3,51,9
3,46,10
3,46,0
3,115,0
3,63,0
3,56,0
3,36,4
3,36,0
3,93,0
3,46,15
3,41,1
3,36,4
3,57,0
3,56,0
4,36,4
4,32,1
4,45,0
4,26,3
4,45,4
4,115,4
4,44,1
4,36,6
4,26,6
4,76,15
4,36,6
4,29,4
3,115,7
4,26,1
4,26,4
4,26,4
4,29,4
4,26,4
4,28,4
4,28,4
4,27,1
4,33,4
4,36,6
4,28,6
3,76,0
3,48,4
3,36,15
3,41,4
0,115,6
2,36,15
3,48,10
3,41,0
3,41,0
3,115,10
3,62,5
3,115,0
3,70,1
3,115,5
3,97,4
3,41,0
3,26,4
3,51,0
3,20,0
3,115,0
3,59,0
3,63,5
3,40,0
3,58,4
3,58,9
3,115,5
3,14,0
3,44,0
3,56,0
3,51,5
4,115,11
3,43,1
3,44,0
3,36,0
3,65,4
3,41,8
3,40,0
3,43,1
3,115,1
2,36,10
3,27,4
3,54,4
3,54,10
3,61,8
4,11,11
4,11,11
4,34,1
4,26,4
0,42,1
4,20,11
3,61,5
3,50,8
3,115,10
3,64,0
3,49,0
3,49,5
3,61,0
3,69,0
3,115,0
4,7,11
4,0,13
4,0,13
4,0,13
3,26,0
3,52,0
3,46,10
3,39,5
3,44,4
3,52,0
3,50,5
3,50,0
3,61,0
3,64,5
3,115,5
3,36,8
3,5,11
3,37,11
3,33,11
3,33,8
3,36,5
3,115,5
3,34,0
3,61,5
3,115,5
3,56,0
3,115,5
3,56,0
1,46,5
1,115,5
1,115,5
3,115,0
3,54,0
3,61,0
3,115,0
3,115,0
3,36,0
3,36,0
4,0,13
4,0,13
3,2,13
3,2,11
3,2,13
3,2,13
3,2,13
3,2,11
3,115,0
3,86,5
3,71,5
3,71,0
3,81,0
3,71,0
3,101,0
3,35,5
3,63,0
3,53,0
3,78,0
3,66,0
3,86,0
3,72,5
3,46,0
3,23,11
3,10,11
3,56,11
3,76,0
3,91,0
3,20,11
3,24,11
3,101,0
3,24,11
3,39,5
3,33,5
3,19,11
3,35,8
3,38,5
3,37,5
3,115,5
3,115,5
3,115,5
3,37,8
3,18,5
3,38,8
3,115,5
3,40,8
3,82,5
3,115,0
3,55,5
3,115,5
3,62,0
3,54,0
3,61,0
3,52,0
3,61,0
1,66,0
1,48,0
1,87,0
1,51,0
1,60,5
1,41,0
1,61,0
1,44,0
1,41,5
3,56,0
3,39,0
3,39,0
3,72,5
3,52,0
3,39,0
3,39,0
3,36,0
3,37,0
3,19,5
3,46,5
3,26,11
3,46,5
3,115,5
3,51,10
3,39,0
3,115,0
3,115,0
3,115,0
3,115,0
3,41,0
3,115,0
3,115,5
1,8,13
1,115,11
1,115,11
1,10,13
1,11,13
3,115,0
3,86,0
3,56,8
3,115,5
3,56,5
3,56,0
3,51,0
3,115,5
3,38,0
3,56,0
3,56,5
3,115,9
3,36,0
3,41,0
3,115,0
3,115,0
3,61,0
3,90,0
3,115,5
3,61,8
3,44,0
3,66,0
3,68,0
3,56,0
3,49,0
3,115,0
3,42,0
3,46,0
3,46,0
3,56,0
3,52,10
3,29,0
3,43,0
3,56,1
3,36,0
3,51,0
3,54,5
3,36,0
3,29,0
3,36,5
3,56,6
3,36,1
3,36,4
3,36,6
3,66,1
3,36,1
3,36,1
3,57,10
3,59,0
3,53,0
3,38,0
3,66,0
3,56,0
3,36,4
3,47,0
3,36,0
3,56,8
3,36,4
3,36,4
3,52,5
3,51,10
3,56,0
4,44,4
4,33,10
4,66,4
4,66,6
4,33,6
4,39,15
4,32,4
4,26,4
4,38,1
4,26,1
4,36,1
4,36,6
4,46,6
4,36,6
0,115,1
4,36,4
4,36,6
0,48,1
3,115,1
3,26,6
4,36,4
4,27,1
4,27,4
4,26,1
4,33,6
4,44,6
4,26,10
4,33,6
4,115,6
4,17,15
4,36,4
4,62,9
4,36,15
3,26,0
3,36,10
3,115,10
3,36,4
3,51,0
3,115,9
3,64,8
3,64,8
3,115,8
3,115,0
3,115,0
3,44,0
3,26,5
3,38,0
3,18,11
3,50,8
3,42,8
3,61,5
3,94,6
3,40,10
3,40,10
3,40,10
3,40,10
3,115,10
3,115,10
3,115,10
3,60,0
3,41,0
3,47,0
3,53,0
3,40,0
3,71,0
3,54,0
3,55,5
3,115,5
3,41,0
3,41,0
3,46,5
3,41,0
3,51,0
3,115,0
3,52,0
3,66,0
3,115,5
3,46,5
3,115,5
3,66,0
3,115,0
3,46,0
3,61,0
3,61,5
3,56,0
4,11,14
3,40,0
3,46,0
3,41,10
3,46,0
3,21,4
2,46,4
3,19,6
3,40,1
3,29,6
3,36,4
3,56,0
3,115,10
3,46,0
3,66,0
3,54,4
3,76,0
4,2,13
4,2,13
4,2,13
3,115,8
3,115,0
4,26,6
0,36,1
4,20,11
5,85,1
3,51,5
3,51,9
3,48,9
3,58,0
3,88,0
3,55,0
3,115,5
3,98,8
3,51,5
3,61,0
3,51,0
3,59,0
3,26,9
3,38,8
3,46,9
3,38,5
3,46,5
3,48,5
3,41,5
3,35,5
3,115,5
3,29,0
3,21,11
3,15,11
3,49,5
3,115,5
3,41,11
3,77,5
3,29,0
3,115,0
3,36,11
3,115,0
3,39,0
3,115,0
3,32,0
3,61,0
3,66,0
3,56,5
3,51,5
3,115,5
3,56,0
3,115,5
3,36,10
3,44,0
3,39,0
4,0,13
4,0,13
4,0,13
3,2,13
3,2,11
3,74,0
3,81,0
3,80,0
3,84,5
3,72,5
3,78,5
3,50,5
3,61,5
3,82,0
3,68,0
3,102,5
3,87,5
3,34,11
3,106,11
3,65,11
3,24,11
3,24,11
3,12,13
3,115,11
4,115,11
3,29,0
3,56,5
3,115,5
3,115,5
3,31,11
3,47,5
3,115,5
3,17,5
3,53,5
3,60,7
3,115,5
3,107,0
3,73,5
3,115,5
3,67,5
3,50,0
3,49,5
3,56,5
3,63,0
1,48,0
1,61,0
1,38,0
3,44,5
3,43,5
3,39,0
3,57,0
3,41,5
3,26,5
3,19,5
3,41,5
3,51,5
3,46,0
3,51,0
3,41,15
3,36,0
3,71,0
3,46,4
3,115,5
3,81,5
1,13,11
1,6,13
1,6,13
1,2,13
1,115,11
1,115,11
1,18,11
1,11,11
1,2,13
1,55,5
1,2,13
1,2,13
1,12,13
3,1,11
3,115,5
3,79,0
1,115,5
3,115,8
3,61,0
3,115,0
3,51,10
3,49,5
3,41,0
3,48,10
3,115,5
3,50,0
3,66,0
3,115,0
3,26,6
3,56,0
3,56,0
3,39,0
3,66,5
3,50,0
3,58,0
3,66,0
3,51,0
3,36,0
3,78,0
3,115,0
3,71,0
3,47,0
3,52,10
3,36,0
3,21,4
3,36,1
3,36,4
3,54,0
3,52,0
3,115,0
3,36,0
3,56,0
3,56,0
3,36,4
3,40,3
3,36,4
3,88,10
3,36,4
3,36,0
3,45,0
4,32,0
4,33,4
4,56,6
4,36,1
4,36,7
4,39,15
4,39,4
4,57,4
4,36,1
4,36,15
4,36,1
4,20,4
4,51,4
4,38,0
4,79,0
4,45,15
4,29,7
4,45,4
4,36,15
4,36,6
4,36,6
4,36,6
4,41,0
4,28,0
3,31,1
4,115,4
3,115,4
4,26,4
4,35,6
4,26,4
4,26,1
4,26,4
4,26,4
4,26,3
4,36,4
4,75,0
4,28,4
4,115,1
4,28,4
4,27,6
3,36,4
4,33,5
4,39,4
4,115,1
4,36,6
4,36,4
4,115,4
4,36,1
4,38,4
4,36,1
4,36,15
3,58,0
3,115,9
3,56,8
3,44,0
3,115,9
3,115,0
3,115,9
3,36,15
3,70,0
3,64,0
3,115,15
3,39,4
3,115,8
3,58,0
3,26,4
3,61,1
3,44,0
3,26,10
3,26,5
3,115,5
3,56,0
3,115,5
3,61,8
3,41,5
3,41,0
3,67,0
3,67,0
3,115,8
3,115,0
3,41,0
3,115,0
3,115,5
3,44,5
3,51,5
3,115,0
3,115,0
3,16,0
3,115,5
3,115,5
3,115,0
3,17,5
3,72,5
4,115,11
4,59,10
3,51,0
3,61,0
3,50,0
3,51,0
3,40,9
3,41,0
3,115,8
3,48,5
3,96,0
3,41,10
3,50,10
3,32,15
3,36,4
3,33,4
3,44,0
3,38,8
3,43,1
3,36,1
3,40,10
3,42,6
3,39,4
3,30,6
3,115,6
3,115,4
3,115,4
3,55,0
3,76,6
3,46,4
3,32,0
4,2,13
4,26,1
4,36,4
4,34,4
4,51,8
4,36,1
4,51,4
5,56,0
0,36,6
0,28,4
0,36,6
4,20,11
4,20,11
3,115,0
3,115,5
3,52,10
3,50,0
3,18,11
3,50,0
3,83,5
3,49,8
3,57,5
3,51,0
3,69,0
3,58,0
3,115,0
3,55,0
3,61,0
4,73,10
3,53,0
4,8,11
3,110,9
4,115,11
4,17,13
4,0,14
4,0,14
3,115,0
4,0,13
3,35,0
3,36,0
3,50,0
5,115,6
3,61,0
3,32,8
3,115,8
3,115,5
3,39,5
3,36,5
3,115,0
3,115,5
3,112,0
3,14,11
3,11,11
3,74,5
3,28,0
3,113,15
3,37,11
3,61,0
3,57,0
3,115,0
3,54,5
3,69,0
3,37,5
3,55,0
3,56,0
3,100,0
3,40,8
3,56,5
3,39,0
3,42,0
3,115,0
2,9,11
2,4,11
4,0,13
4,0,13
3,2,11
3,41,0
3,72,0
3,67,0
3,86,0
3,83,5
3,86,5
3,81,0
3,83,0
3,92,5
3,35,0
3,105,5
3,58,5
3,70,0
3,75,5
3,86,5
3,115,5
3,46,0
3,47,0
3,68,5
3,10,11
3,10,11
3,17,11
3,10,11
3,24,11
3,24,11
3,24,11
3,35,5
3,41,5
3,34,5
3,38,5
3,39,5
3,64,0
3,48,5
3,40,5
3,40,0
3,115,11
3,29,0
3,41,8
3,63,8
3,35,0
3,115,8
3,39,5
3,115,5
3,34,5
3,35,5
3,76,5
3,65,5
3,50,5
3,59,5
3,64,5
3,58,5
3,51,0
3,67,0
3,52,0
3,74,0
3,61,0
3,50,0
3,46,0
3,46,5
3,51,5
1,48,0
1,51,0
1,48,5
1,57,5
1,87,5
1,60,0
1,76,0
1,61,5
3,39,0
3,39,0
3,36,0
3,41,0
3,115,5
3,26,13
3,40,0
3,60,0
3,115,5
3,20,0
3,19,0
1,21,11
1,56,11
1,8,11
1,16,11
1,6,11
1,2,13
1,2,13
1,49,0
1,115,5
1,82,5
3,26,11
3,56,0
3,70,0
3,54,0
3,56,5
3,115,9
3,102,0
3,84,0
3,56,0
3,54,5
3,64,0
3,56,0
3,46,0
3,115,10
3,50,0
3,115,0
3,52,0
3,46,0
3,56,0
3,56,8
3,56,5
3,115,0
3,115,0
3,61,3
3,26,0
3,27,4
3,26,0
3,56,0
3,39,10
3,115,9
3,76,8
3,49,0
3,41,0
3,36,0
3,46,0
3,56,0
3,48,0
3,46,0
3,51,0
3,36,0
3,46,10
3,36,0
3,44,0
3,47,0
3,31,4
3,46,0
3,51,0
3,115,0
3,36,4
3,115,4
3,88,6
3,36,4
3,36,6
3,69,8
3,51,0
3,42,0
3,36,0
3,115,0
3,46,0
3,46,0
3,56,0
3,46,0
3,36,0
3,42,9
4,36,1
4,26,4
4,32,1
4,32,1
4,36,1
4,94,4
4,26,4
4,33,6
4,115,6
4,29,6
4,11,6
4,32,4
4,36,6
4,51,7
4,28,0
4,52,8
3,31,2
4,31,4
4,26,4
4,26,6
4,27,3
4,115,4
4,28,4
4,28,4
4,27,4
4,23,6
3,36,4
3,36,4
4,115,6
4,16,3
4,16,4
4,94,8
4,36,5
